TYTUL1;Lokalizacja;TYTUL2;CATEGORIA
P³atnoœæ kart¹; Kraj; APTEKA PATICARIUS;APTEKA
P³atnoœæ kart¹; Kraj; SODEXO Restauracja UBC;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; U ZRODLA SP. Z O.O.;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; U ZRODLA SP. Z O.O.;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Sklep Spozywczy  36198;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
Wyp³ata z bankomatu; Kraj; UL. PULAWSKA 46;BANKOMAT
Przelew podatkowy; URZ¥D SKARBOWY;;INNE
Przelew z rachunku; PIOTR GRZELA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Przelew z rachunku; ABAX BIURO KSIEGOWE;;OP£ATY RÓ¯NE
Przelew z rachunku; GRZEGORZ SZYMCZYKIEWICZ;;OP£ATY RÓ¯NE
Przelew z rachunku; UKS NOWA IWICZNA;;OP£ATY RÓ¯NE
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
Przelew z rachunku; DAMIAN MIZERSKI;;OP£ATY RÓ¯NE
Przelew z rachunku; TUIR ALLIANZ;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DECATHLON Piaseczno;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; ORLEN 03;PALIWO
Wyp³ata z bankomatu; Kraj; SGB KRASICKIEGO 35;BANKOMAT
P³atnoœæ kart¹; Kraj; U ZRODLA SP. Z O.O.;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; ASEC Dw. Ochota T040;INNE
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  01;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; ul. Krasickiego 44;BANKOMAT
P³atnoœæ kart¹; Kraj; GALEB 1;INNE
P³atnoœæ kart¹; Kraj; DUFRY DOO BEOGRAD;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; LOT AIRLINE;INNE
P³atnoœæ kart¹; Kraj; Lagardere Duty Free WA;INNE
P³atnoœæ kart¹; Kraj; BH TRAVEL STARTER DWORZEC;INNE
P³atnoœæ kart¹; Kraj; McDonalds 41;BARY RESTAURACJE OUTDOOR
Przelew na rachunek; MEDVIT SP. Z O.O. PU£AWSKA 42 B;;WYNAGRODZENIA I UZNANIA
Wyp³ata z bankomatu; Kraj; ul. Krasickiego 44;BANKOMAT
P³atnoœæ kart¹; Kraj; GRYCAN LODY OD POKOLEN;BARY RESTAURACJE OUTDOOR
Zwrot p³atnoœci kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
Zwrot p³atnoœci kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
Zwrot p³atnoœci kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DECATHLON Piaseczno;ODZIEZ I OBUWIE
Polecenie Zap³aty; ORANGE POLSKA SPOLKA AKCYJNA UL. AL. JEROZOLIMSKIE 160;;INNE
Polecenie Zap³aty; PGNIG OBRÓT DETALICZNY SPÓ£KA Z OGR ANICZON¥ ODPOWIEDZIALNOŒCI¥;;INNE
Przelew na rachunek; Urz¹d Skarbowy w Piasecznie ul. Energetyczna 5;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Wyp³ata z bankomatu; Kraj; Al. Jerozolimskie 60;BANKOMAT
P³atnoœæ kart¹; Kraj; STACJA PALIW     18081;PALIWO
Zlecenie sta³e; WSPÓLNOTA MAGNOLIA 1FUNDUSZREMONTOWY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; WSPÓLNOTA MIESZKANIOWA MAGNOLII 1;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Sp³ata kredytu;;;SP£ATA KREDYTU
Sp³ata kredytu;;;SP£ATA KREDYTU
Przelew z rachunku; DAMIAN MIZERSKI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; ORLEN DOFO 01;PALIWO
Polecenie Zap³aty; PGE OBRÓT SA O/WARSZAWA;;INNE
P³atnoœæ kart¹; Kraj; GTC SA AUTOSTRADA A1;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Zlecenie sta³e; AMER ANGLO;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew do ZUS; ZAK£AD UBEZPIECZEÑ SPO£ECZNYCH;;INNE
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; AGATA SA;;OP£ATY RÓ¯NE
Przelew z rachunku; AGATA S.A.;;OP£ATY RÓ¯NE
Przelew z rachunku; AGATA SA;;OP£ATY RÓ¯NE
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
Przelew z rachunku; DO£ADOWANIE TELEFONU +48 784482729 T-MOBILE IDENTYFIKATOR OPERACJI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; SHELL 01;PALIWO
P³atnoœæ kart¹; Kraj; PL KFC OLSZE SOUTH;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; BP-BALTYK 197;PALIWO
P³atnoœæ kart¹; Kraj; SHELL;PALIWO
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; PL KFC RUMIA RUMIA;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DELIKATESY CENTRUM;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; RESTAURACJA ANTONIO;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Op³ata;;;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; URZAD GMINY;INNE
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
Zlecenie sta³e; POCZTA POLSKA S.A. COF DZIA£ ABONAMENTU;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; OKRÊGOWA IZBA LEKARSKA W WARSZAWIE;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Zlecenie sta³e; PALLOTYÑSKI SEKRETARIAT MISYJNY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Naliczenie odsetek;;;INNE
Obci¹¿enie;;;INNE
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; BS KROKOWA ABRAHAMA 16;BANKOMAT
P³atnoœæ kart¹; Kraj; RESTAURACJA ANTONIO;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; MEDIA MARKT GDYNIA;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; BS KROKOWA ABRAHAMA 16;BANKOMAT
Zlecenie sta³e; ABAX BIURO KSIÊGOWE BO¯ENA BARTUZI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; ORLEN 04;PALIWO
P³atnoœæ kart¹; Kraj; SHELL;PALIWO
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; AMDENTAL PLUS;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PRALNIA CH AUCHAN;INNE
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; GMINNY OSRODEK SPORTU;INNE
P³atnoœæ kart¹; Kraj; GMINNY OSRODEK SPORTU;INNE
P³atnoœæ kart¹; Kraj; PHU STUDIO S;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; MEDIA MARKT PIASECZNO;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; KIOSK;INNE
P³atnoœæ kart¹; Kraj; KIOSK;INNE
Wyp³ata z bankomatu; Kraj; UL. PULAWSKA 46;BANKOMAT
P³atnoœæ kart¹; Kraj; SMYK CH N-PARK;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. SZTURMOWA 2A;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; EURO-NET SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Wyp³ata z bankomatu; Kraj; ul. Nowa 9;BANKOMAT
Przelew z rachunku; TUIR ALLIANZ;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; ORLEN 117;PALIWO
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; New Gastro;BARY RESTAURACJE OUTDOOR
Przelew z rachunku; DOMINIK;;OP£ATY RÓ¯NE
Przelew z rachunku; BERNADETA BRAUN;;OP£ATY RÓ¯NE
Korekta;;;INNE
Przelew z rachunku; SPA4GARDEN SUREN KARAPETYAN;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; H AND M PIASECZNO 4;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; Deichmann-Obuwie Sp.z.o.o;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AMIC POLSKA sp. z o.o.;PALIWO
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AMIC POLSKA sp. z o.o.;PALIWO
P³atnoœæ kart¹; Kraj; CCC;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; Sklep Warzywniczy;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; ul. Graniczna 13;BANKOMAT
P³atnoœæ kart¹; Kraj; KIOSK;INNE
Przelew z rachunku; PZU S.A. AL. JANA PAW£A II 24;;OP£ATY RÓ¯NE
Przelew z rachunku; AGNIESZKA AUGUSTYN;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; AMIC POLSKA sp. z o.o.;PALIWO
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; MISTER MINIT;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; H AND M PIASECZNO 2;ODZIEZ I OBUWIE
Zwrot p³atnoœci kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
Zwrot p³atnoœci kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; MCDONALDS 049 W-WA 11 P;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; K.A.J. Sp. z o.o. Aptek;INNE
P³atnoœæ kart¹; Kraj; New Gastro;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Lodolandia N-Park;INNE
P³atnoœæ kart¹; Kraj; BAR VIET THAI;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Apteka z Usmiechem KA01;APTEKA
P³atnoœæ kart¹; Kraj; LIDL PULAWSKA;Zakupy Spozywcze
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
Wyp³ata z bankomatu; Kraj; ul. Krasickiego 44;BANKOMAT
Wyp³ata z bankomatu; Kraj; ul. Mleczarska 1;BANKOMAT
Wyp³ata z bankomatu; Kraj; SGB KRASICKIEGO 35;BANKOMAT
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; ORLEN 02;PALIWO
P³atnoœæ kart¹; Kraj; MCDONALDS 049 W-WA 11 P;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PL KFC Piaseczno Okulic;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; TOP MARKET/KRASICKIEGO;INNE
Przelew z rachunku; URZ¥D GMINY KROKOWA;;OP£ATY RÓ¯NE
Przelew z rachunku; URZ¥D GMINY KROKOWA;;OP£ATY RÓ¯NE
Przelew z rachunku; GMINA LESZNOWOLA;;OP£ATY RÓ¯NE
Przelew podatkowy; URZ¥D SKARBOWY;;INNE
P³atnoœæ web - kod mobilny; UL.HAFFNERA 6 81-717 SOPOT;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
Zwrot p³atnoœci kart¹; Kraj; PROMOD CH Piaseczno;ODZIEZ I OBUWIE
Wyp³ata z bankomatu; Kraj; ul. Krasickiego 62 A;BANKOMAT
Wyp³ata z bankomatu; Kraj; PLANET CASH PULAWSKA 46;BANKOMAT
P³atnoœæ kart¹; Kraj; NETTO 1101515;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; KAOWIEC JAROSLAW NOWAK;INNE
P³atnoœæ kart¹; Kraj; ASEC Dw. Ochota T040;INNE
P³atnoœæ kart¹; Kraj; EMPIK;CHEMIA I KIOSKI
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; ul. Krasickiego 44;BANKOMAT
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
P³atnoœæ kart¹; Kraj; McDonalds W-wa Dolinka;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; ul. Krasickiego 44;BANKOMAT
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
Przelew na rachunek; MEDVIT SP. Z O.O. PU£AWSKA 42 B;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; LOT AIRLINE;INNE
P³atnoœæ kart¹; Kraj; BH TRAVEL STARTER DWORZEC;INNE
Przelew z rachunku; UKS NOWA IWICZNA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; McDonalds 41;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; APTEKA PANACEUM;APTEKA
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; KRAMIG;INNE
P³atnoœæ kart¹; Kraj; IMA PHARMA SP.Z O.O.;INNE
P³atnoœæ kart¹; Kraj; TOP MARKET/KRASICKIEGO;INNE
P³atnoœæ kart¹; Kraj; Sklep Warzywniczy;Zakupy Spozywcze
Polecenie Zap³aty; PGE OBRÓT SA O/WARSZAWA;;INNE
P³atnoœæ kart¹; Kraj; APTEKA PANACEUM;APTEKA
Przelew na rachunek; Urz¹d Skarbowy w Piasecznie ul. Energetyczna 5;;WYNAGRODZENIA I UZNANIA
Przelew z rachunku; BARBARA KWIATKOWSKA;;OP£ATY RÓ¯NE
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Polecenie Zap³aty; ORANGE POLSKA SPOLKA AKCYJNA UL. AL. JEROZOLIMSKIE 160;;INNE
P³atnoœæ kart¹; Kraj; Metamorfoza;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Zlecenie sta³e; WSPÓLNOTA MAGNOLIA 1FUNDUSZREMONTOWY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; WSPÓLNOTA MIESZKANIOWA MAGNOLII 1;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; PROMOD CH Piaseczno;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; KAOWIEC JAROSLAW NOWAK;INNE
P³atnoœæ kart¹; Kraj; ORLEN 02;PALIWO
P³atnoœæ kart¹; Kraj; ORLEN 02;PALIWO
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SODEXO Restauracja U 01;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; U ZRODLA SP. Z O.O.;BARY RESTAURACJE OUTDOOR
Wyp³ata z bankomatu; Kraj; ul. Krasickiego 62 A;BANKOMAT
Sp³ata kredytu;;;SP£ATA KREDYTU
Sp³ata kredytu;;;SP£ATA KREDYTU
P³atnoœæ kart¹; Kraj; MERCURE DEN HAAG CENTR;INNE
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; K.A.J. Sp. z o.o. Aptek;INNE
P³atnoœæ kart¹; Kraj; LPP RESERVED 1911972;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; KEUKENHOF EXTRA INGAN;INNE
Wyp³ata z bankomatu; Kraj; UL. PULAWSKA 46;BANKOMAT
Zlecenie sta³e; AMER ANGLO;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew do ZUS; ZAK£AD UBEZPIECZEÑ SPO£ECZNYCH;;INNE
P³atnoœæ kart¹; Kraj; TOP MARKET/KRASICKIEGO;INNE
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; DELIKATESY  EXPRESS;Zakupy Spozywcze
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; New Gastro;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Zlecenie sta³e; OKRÊGOWA IZBA LEKARSKA W WARSZAWIE;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Op³ata;;;INNE
P³atnoœæ kart¹; Kraj; SHELL 01;PALIWO
P³atnoœæ kart¹; Kraj; McDonalds 03;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; BP-KUJAWY 216;PALIWO
P³atnoœæ kart¹; Kraj; GTC SA AUTOSTRADA A1;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Zlecenie sta³e; POCZTA POLSKA S.A. COF DZIA£ ABONAMENTU;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PALLOTYÑSKI SEKRETARIAT MISYJNY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; Koleje Mazowieckie KM;INNE
Wyp³ata z bankomatu; Kraj; ul. Krasickiego 44;BANKOMAT
P³atnoœæ kart¹; Kraj; NADOLANKA S.C.   46523;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; GTC SA AUTOSTRADA A1;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; DELIKATESY CENTRUM;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; BP-LUBIEN 292;PALIWO
P³atnoœæ kart¹; Kraj; BP-BALTYK 197;PALIWO
P³atnoœæ kart¹; Kraj; AMIC Polska Sp. z o. 04;PALIWO
P³atnoœæ kart¹; Kraj; Leroy Merlin Rumia;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; ORLEN;PALIWO
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; UL. PULAWSKA 621B;BANKOMAT
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Naliczenie odsetek;;;INNE
P³atnoœæ kart¹; Kraj; LPP RESERVED 1911972;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; JMP S.A. BIEDRONKA 4108;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AGATA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; UL. PULAWSKA 46;BANKOMAT
Przelew z rachunku; AGATA MEBLE;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; KAKADU Sklep zoologiczn;INNE
Przelew z rachunku; UKS NOWA IWICZNA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; AGATA;Zakupy Spozywcze
Przelew z rachunku; UKS NOWA IWICZNA;;OP£ATY RÓ¯NE
Przelew z rachunku; PAWE£ KWIATKOWSKI;;OP£ATY RÓ¯NE
Zlecenie sta³e; ABAX BIURO KSIÊGOWE BO¯ENA BARTUZI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; PLUM SZKO£A P£YWANIA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; IKEA Retail Sp. z o.o.-;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; IKEA Retail Sp. z o. 01;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; New Gastro;BARY RESTAURACJE OUTDOOR
Przelew na rachunek; RAIFFEISEN BANK POLSKASP??KA AKCYJN;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; EMEL SP. Z O.O.;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Przelew z rachunku; MAJA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; McDonalds 466 Warszawa;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PL KFC Piaseczno Okulic;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PLN intercity.pl;INNE
P³atnoœæ kart¹; Kraj; LOTOS SF809 K.3;PALIWO
P³atnoœæ kart¹; Kraj; GTC SA AUTOSTRADA A1;SAMOCHODY I KOMUNIKACJA
Przelew z rachunku; TUIR ALLIANZ;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; SHELL;PALIWO
P³atnoœæ kart¹; Kraj; ORLEN 102;PALIWO
P³atnoœæ kart¹; Kraj; AMIC POLSKA sp. z o. 02;PALIWO
P³atnoœæ kart¹; Kraj; GMINNY OSRODEK SPORTU;INNE
P³atnoœæ kart¹; Kraj; GMINNY OSRODEK SPORTU;INNE
P³atnoœæ kart¹; Kraj; GMINNY OSRODEK SPORTU;INNE
P³atnoœæ kart¹; Kraj; GMINNY OSRODEK SPORTU;INNE
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; AUCHAN Piaseczno;Zakupy Spozywcze
